经度,纬度,台风强度,台风等级,风速,气压,移动方向,移动速度,天,小时
126.5,18.5,台风(TY),12.0,35.0,976.45,西北,19,1,0
125.5,19.3,台风(TY),13.0,41.0,976.45,西北,19,1,6
124.5,20.0,强台风(STY),14.0,43.0,976.45,西北,19,1,12
123.7,20.7,强台风(STY),15.0,48.0,976.45,西北,19,1,18
123.0,21.5,超强台风(Super TY),16.0,53.0,976.45,西北,19,2,0
122.5,22.5,超强台风(Super TY),16.0,53.0,976.45,西北,19,2,6
122.0,23.5,强台风(STY),14.0,46.0,976.45,西北,19,2,12
121.5,24.2,台风(TY),13.0,38.0,976.45,西北,19,2,18
121.0,25.0,强热带风暴(STS),11.0,30.0,976.45,西北,19,3,0
120.5,25.5,强热带风暴(STS),10.0,25.0,976.45,西北,19,3,6
120.0,26.0,强热带风暴(STS),10.0,25.0,976.45,北,19,3,12
119.2,26.2,热带风暴(TS),9.0,23.0,976.45,西北,19,3,18
118.5,26.5,热带风暴(TS),9.0,23.0,976.45,西北,19,4,0
118.0,26.8,热带风暴(TS),8.0,20.0,976.45,西北,19,4,6
117.5,27.5,热带风暴(TS),8.0,20.0,976.45,东南,19,4,12
130.5,14.5,热带低压(TD),6.0,12.0,976.45,北,19,7,12
129.3,14.7,热带低压(TD),7.0,15.0,976.45,北,19,7,18
128.0,15.0,热带低压(TD),7.0,15.0,976.45,西北,19,8,0
126.8,15.9,热带低压(TD),7.0,17.0,976.45,西北,19,8,6
126.0,17.0,热带风暴(TS),8.0,20.0,976.45,西北,19,8,12
125.5,17.7,热带风暴(TS),9.0,23.0,976.45,西北,19,8,18
125.0,18.5,强热带风暴(STS),10.0,25.0,976.45,西北,19,9,0
124.5,18.8,强热带风暴(STS),10.0,28.0,976.45,北,19,9,6
124.0,19.0,强热带风暴(STS),11.0,30.0,976.45,西北,19,9,12
123.4,20.0,台风(TY),12.0,33.0,976.45,西,19,9,18
123.0,21.0,台风(TY),12.0,35.0,976.45,西北,19,10,0
122.5,21.5,强台风(STY),14.0,43.0,976.45,西北,19,10,6
122.0,22.0,强台风(STY),14.0,46.0,976.45,西北,19,10,12
121.3,22.8,台风(TY),12.0,35.0,976.45,西北,19,10,18
121.0,23.5,热带风暴(TS),9.0,23.0,976.45,西北,19,11,0
120.5,24.2,强热带风暴(STS),10.0,25.0,976.45,西北,19,11,6
120.0,25.0,强热带风暴(STS),10.0,28.0,976.45,西北,19,11,12
119.2,26.0,强热带风暴(STS),11.0,30.0,976.45,西,19,11,18
119.0,27.0,强热带风暴(STS),10.0,28.0,976.45,西,19,12,0
119.3,29.0,强热带风暴(STS),10.0,28.0,976.45,西,19,12,6
120.0,31.0,强热带风暴(STS),10.0,25.0,976.45,东北,19,12,12
122.5,32.5,强热带风暴(STS),10.0,25.0,976.45,东北,19,12,18
125.0,34.5,热带风暴(TS),9.0,23.0,976.45,东北,19,13,0
127.0,36.0,热带风暴(TS),9.0,23.0,976.45,东北,19,13,6
129.5,37.2,热带风暴(TS),8.0,20.0,976.45,南,19,13,12
133.0,38.5,热带低压(TD),7.0,17.0,976.45,东北,19,13,18
136.5,40.2,热带低压(TD),7.0,17.0,976.45,东北,19,14,0
140.0,42.0,热带低压(TD),7.0,15.0,976.45,东南,19,14,6
157.0,8.0,热带低压(TD),7.0,15.0,976.45,西北,19,10,0
156.0,8.5,热带低压(TD),7.0,15.0,976.45,西北,19,10,6
155.1,9.0,热带低压(TD),7.0,15.0,976.45,西北,19,10,12
154.2,9.6,热带低压(TD),7.0,15.0,976.45,北,19,10,18
153.0,10.0,热带低压(TD),7.0,17.0,976.45,北,19,11,0
151.8,10.3,热带低压(TD),7.0,17.0,976.45,北,19,11,6
150.5,10.5,热带低压(TD),7.0,17.0,976.45,北,19,11,12
149.2,10.7,热带风暴(TS),8.0,20.0,976.45,北,19,11,18
148.0,11.0,热带风暴(TS),8.0,20.0,976.45,北,19,12,0
146.8,11.2,热带风暴(TS),8.0,20.0,976.45,西北,19,12,6
145.7,11.7,热带风暴(TS),9.0,23.0,976.45,北,19,12,12
144.6,12.0,热带风暴(TS),9.0,23.0,976.45,西北,19,12,18
143.5,12.5,强热带风暴(STS),10.0,25.0,976.45,西北,19,13,0
142.3,13.0,强热带风暴(STS),10.0,28.0,976.45,北,19,13,6
141.0,13.5,强热带风暴(STS),10.0,28.0,976.45,北,19,13,12
139.7,13.9,强热带风暴(STS),10.0,28.0,976.45,西北,19,13,18
138.5,14.5,强热带风暴(STS),11.0,30.0,976.45,北,19,14,0
137.0,15.0,强热带风暴(STS),11.0,30.0,976.45,西北,19,14,6
135.7,15.8,强热带风暴(STS),11.0,30.0,976.45,西北,19,14,12
134.2,16.5,强热带风暴(STS),11.0,30.0,976.45,西北,19,14,18
133.0,17.5,强热带风暴(STS),11.0,30.0,976.45,西北,19,15,0
131.9,18.9,台风(TY),12.0,33.0,976.45,西北,19,15,6
130.8,20.0,台风(TY),12.0,33.0,976.45,西北,19,15,12
129.8,21.5,台风(TY),12.0,33.0,976.45,西北,19,15,18
129.0,23.0,台风(TY),12.0,33.0,976.45,西,19,16,0
128.4,24.5,台风(TY),12.0,33.0,976.45,西,19,16,6
128.3,26.1,台风(TY),12.0,35.0,976.45,西,19,16,12
129.0,27.8,台风(TY),12.0,35.0,976.45,东北,19,16,18
130.0,29.0,台风(TY),12.0,35.0,976.45,东北,19,17,0
132.0,30.9,台风(TY),12.0,33.0,976.45,东北,19,17,6
134.3,32.6,台风(TY),12.0,33.0,976.45,东北,19,17,12
136.5,34.4,强热带风暴(STS),11.0,30.0,976.45,东北,19,17,18
139.0,36.0,强热带风暴(STS),10.0,28.0,976.45,东北,19,18,0
142.9,38.0,强热带风暴(STS),10.0,28.0,976.45,东北,19,18,6
146.8,39.9,强热带风暴(STS),10.0,28.0,976.45,南,19,18,12
150.8,41.4,强热带风暴(STS),10.0,28.0,976.45,南,19,18,18
155.0,43.0,强热带风暴(STS),10.0,28.0,976.45,东北,19,19,0
158.2,44.4,强热带风暴(STS),10.0,25.0,976.45,南,19,19,6
161.6,45.8,热带风暴(TS),9.0,23.0,976.45,东北,19,19,12
164.8,47.3,热带风暴(TS),9.0,23.0,976.45,东北,19,19,18
168.0,49.0,热带风暴(TS),8.0,20.0,976.45,南,19,20,0
172.0,49.0,强热带风暴(STS),10.0,25.0,976.45,东北,19,20,6
174.0,50.0,强热带风暴(STS),10.0,25.0,976.45,东北,19,20,12
176.0,51.0,强热带风暴(STS),10.0,25.0,976.45,西南,19,20,18
113.5,17.0,热带低压(TD),7.0,17.0,976.45,西北,19,20,12
112.4,17.7,热带风暴(TS),8.0,20.0,976.45,西北,19,20,18
111.4,18.4,热带风暴(TS),9.0,23.0,976.45,西北,19,21,0
110.3,19.0,强热带风暴(STS),10.0,25.0,976.45,西北,19,21,6
109.4,19.6,热带风暴(TS),8.0,20.0,976.45,西北,19,21,12
108.3,20.3,热带风暴(TS),8.0,20.0,976.45,西北,19,21,18
107.3,20.8,热带低压(TD),7.0,17.0,976.45,东南,19,22,0
124.4,12.3,热带低压(TD),6.0,12.0,976.45,北,19,21,6
123.7,12.4,热带低压(TD),6.0,12.0,976.45,北,19,21,12
122.7,12.7,热带低压(TD),6.0,12.0,976.45,北,19,21,18
121.8,13.0,热带低压(TD),7.0,15.0,976.45,西北,19,22,0
121.0,13.4,热带低压(TD),7.0,15.0,976.45,北,19,22,6
120.0,13.8,热带低压(TD),7.0,17.0,976.45,西北,19,22,12
118.8,14.4,热带低压(TD),7.0,17.0,976.45,西北,19,22,18
117.7,15.1,热带风暴(TS),8.0,20.0,976.45,西北,19,23,0
116.8,15.7,热带风暴(TS),8.0,20.0,976.45,西北,19,23,6
116.0,16.3,热带低压(TD),7.0,17.0,976.45,西北,19,23,12
115.0,17.2,热带低压(TD),7.0,15.0,976.45,西北,19,23,18
113.5,18.4,热带低压(TD),6.0,12.0,976.45,西北,19,24,0
111.9,19.5,热带低压(TD),5.0,10.0,976.45,南,19,24,6
142.5,11.5,热带低压(TD),6.0,12.0,976.45,西北,19,25,0
141.6,12.0,热带低压(TD),6.0,12.0,976.45,西北,19,25,6
140.8,12.5,热带低压(TD),6.0,12.0,976.45,西北,19,25,12
140.0,13.0,热带低压(TD),6.0,12.0,976.45,西北,19,25,18
139.0,13.5,热带低压(TD),6.0,12.0,976.45,西北,19,26,0
138.1,14.0,热带低压(TD),6.0,12.0,976.45,西北,19,26,6
137.2,14.6,热带低压(TD),7.0,15.0,976.45,西北,19,26,12
136.4,15.0,热带风暴(TS),8.0,20.0,976.45,西北,19,26,18
135.5,15.5,热带风暴(TS),9.0,23.0,976.45,北,19,27,0
134.5,15.8,强热带风暴(STS),10.0,25.0,976.45,西北,19,27,6
133.7,16.2,强热带风暴(STS),10.0,28.0,976.45,西北,19,27,12
132.9,16.6,强热带风暴(STS),11.0,30.0,976.45,西北,19,27,18
132.0,17.0,台风(TY),12.0,33.0,976.45,西北,19,28,0
131.4,17.3,台风(TY),12.0,35.0,976.45,西北,19,28,6
130.7,17.7,台风(TY),12.0,35.0,976.45,西北,19,28,12
130.1,18.0,台风(TY),13.0,38.0,976.45,西北,19,28,18
129.5,18.5,台风(TY),13.0,38.0,976.45,西北,19,29,0
