经度,纬度,风速,台风等级,气压,移动速度,天,小时,台风强度_台风(TY),台风强度_强台风(STY),台风强度_强热带风暴(STS),台风强度_热带低压(TD),台风强度_热带风暴(TS),台风强度_超强台风(Super TY),移动方向_东,移动方向_东北,移动方向_东南,移动方向_北,移动方向_南,移动方向_西,移动方向_西北,移动方向_西南
-0.28159450630610694,-0.594572957454639,0.32568645359191706,0.42835644570138365,3.0107405915458955e-05,-0.01326779992722074,-1.6358047106739475,-1.6493878301428722,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
-0.3462622716934343,-0.49490659809877174,0.697787381485354,0.6800039105795868,3.0107405915458955e-05,-0.01326779992722074,-1.6358047106739475,-0.7612158779277244,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
-0.41093003708076176,-0.40769853366238806,0.8218210241164997,0.93165137545779,3.0107405915458955e-05,-0.01326779992722074,-1.6358047106739475,0.12695607428742336,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
-0.4626642493906235,-0.3204904692260044,1.131905130694364,1.1832988403359932,3.0107405915458955e-05,-0.01326779992722074,-1.6358047106739475,1.015128026502571,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
-0.5079316851617529,-0.2208241098701371,1.441989237272228,1.4349463052141962,3.0107405915458955e-05,-0.01326779992722074,-1.5192174734009039,-1.6493878301428722,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
-0.5402655678554166,-0.0962411606753031,1.441989237272228,1.4349463052141962,3.0107405915458955e-05,-0.01326779992722074,-1.5192174734009039,-0.7612158779277244,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
-0.5725994505490803,0.028341788519530897,1.0078714880632182,0.93165137545779,3.0107405915458955e-05,-0.01326779992722074,-1.5192174734009039,0.12695607428742336,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
-0.604933333242744,0.1155498529559146,0.5117369175386356,0.6800039105795868,3.0107405915458955e-05,-0.01326779992722074,-1.5192174734009039,1.015128026502571,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
-0.6372672159364078,0.2152162123117819,0.01560234701405291,0.1767089808231805,3.0107405915458955e-05,-0.01326779992722074,-1.4026302361278604,-1.6493878301428722,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
-0.6696010986300714,0.27750768690919886,-0.29448175956381123,-0.07493848405502262,3.0107405915458955e-05,-0.01326779992722074,-1.4026302361278604,-0.7612158779277244,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
-0.7019349813237352,0.3397991615066159,-0.29448175956381123,-0.07493848405502262,3.0107405915458955e-05,-0.01326779992722074,-1.4026302361278604,0.12695607428742336,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
